OrderID,OrderDate,Category,ProductName,UnitPrice,Quantity,Region
1001,2024-01-07,Fashion,Denim Jeans,18900,3,Incheon
1002,2024-01-20,Electronics,Portable Speaker,49000,2,Daejeon
1003,2024-01-29,Fashion,Hoodie,24900,1,Seoul
1004,2024-01-15,Home,Towel Set,55000,2,Daejeon
1005,2024-01-11,Electronics,Bluetooth Earbuds,39000,1,Seoul
1006,2024-01-08,Home,Towel Set,49000,1,Daegu
1007,2024-01-29,Electronics,USB-C Charger,12000,1,Seoul
1008,2024-01-21,Beauty,Lip Tint,69000,1,Seoul
1009,2024-01-07,Home,Cushion,55000,2,Busan
1010,2024-01-26,Electronics,USB-C Charger,39000,3,Daejeon
1011,2024-01-19,Beauty,Perfume,49000,3,Daegu
1012,2024-01-23,Beauty,Lip Tint,12000,2,Daegu
1013,2024-01-11,Electronics,Bluetooth Earbuds,69000,3,Daegu
1014,2024-01-11,Electronics,Wireless Mouse,69000,1,Incheon
1015,2024-01-24,Sports,Water Bottle,39000,1,Incheon
1016,2024-01-21,Sports,Jump Rope,18900,3,Daejeon
1017,2024-01-04,Sports,Water Bottle,89000,2,Incheon
1018,2024-01-08,Sports,Jump Rope,39000,1,Daegu
1019,2024-01-24,Home,Table Lamp,69000,2,Seoul
1020,2024-01-03,Sports,Running Shorts,18900,3,Daegu
1021,2024-01-22,Fashion,Hoodie,55000,3,Seoul
1022,2024-01-21,Electronics,Bluetooth Earbuds,89000,3,Seoul
1023,2024-01-02,Home,Coffee Mug,55000,1,Daegu
1024,2024-01-24,Electronics,Portable Speaker,24900,1,Daegu
1025,2024-01-12,Fashion,Sneakers,49000,1,Seoul
1026,2024-01-30,Home,Coffee Mug,4500,1,Incheon
1027,2024-01-06,Home,Table Lamp,39000,1,Daegu
1028,2024-01-02,Electronics,Bluetooth Earbuds,4500,1,Daegu
1029,2024-01-28,Electronics,Portable Speaker,8900,2,Daejeon
1030,2024-01-21,Electronics,Bluetooth Earbuds,12000,3,Busan
1031,2024-01-01,Sports,Jump Rope,69000,3,Incheon
1032,2024-01-12,Beauty,Perfume,89000,1,
1033,2024-01-26,Home,Table Lamp,29900,3,Daegu
1034,2024-01-22,Electronics,Bluetooth Earbuds,89000,3,Daejeon
1035,2024-01-29,Beauty,Perfume,89000,2,Daegu
1036,2024-01-12,Fashion,Hoodie,12000,2,Incheon
1037,2024-01-25,Electronics,Bluetooth Earbuds,49000,1,Seoul
1038,2024-01-17,Beauty,Perfume,55000,1,Busan
1039,2024-01-27,Fashion,Hoodie,39000,2,Busan
1040,2024-01-27,Electronics,USB-C Charger,4500,1,Seoul
1041,2024-01-10,Home,Coffee Mug,24900,1,
1042,2024-01-28,Electronics,Wireless Mouse,12000,1,Incheon
1043,2024-01-28,Electronics,USB-C Charger,18900,1,Seoul
1044,2024-01-16,Home,Table Lamp,49000,2,Daegu
1045,2024-01-15,Electronics,Wireless Mouse,55000,2,Busan
1046,2024-01-30,Fashion,Denim Jeans,29900,1,Daejeon
1047,2024-01-30,Electronics,USB-C Charger,4500,2,Seoul
1048,2024-01-15,Sports,Jump Rope,18900,1,Seoul
1049,2024-01-30,Electronics,USB-C Charger,89000,1,Daejeon
1050,2024-01-19,Beauty,Foam Cleanser,49000,1,Daegu
1051,2024-01-12,Fashion,Basic T-Shirt,4500,2,Seoul
1052,2024-01-23,Sports,Jump Rope,12000,2,Daegu
1053,2024-01-20,Electronics,USB-C Charger,4500,2,Incheon
1054,2024-01-25,Sports,Running Shorts,24900,3,Daegu
1055,2024-01-03,Home,Coffee Mug,24900,2,Seoul
1056,2024-01-05,Sports,Water Bottle,12000,2,Seoul
1057,2024-01-19,Home,Cushion,24900,1,Daegu
1058,2024-01-07,Fashion,Basic T-Shirt,69000,3,Busan
1059,2024-01-21,Beauty,Perfume,49000,1,Busan
1060,2024-01-09,Beauty,Foam Cleanser,8900,1,Seoul
1061,2024-01-07,Electronics,Bluetooth Earbuds,89000,3,Daejeon
1062,2024-01-18,Fashion,Hoodie,69000,1,Busan
1063,2024-01-04,Electronics,USB-C Charger,69000,1,Incheon
1064,2024-01-25,Sports,Jump Rope,4500,3,Incheon
1065,2024-01-28,Beauty,Moisture Cream,8900,1,Daegu
1066,2024-01-14,Electronics,Portable Speaker,29900,1,Busan
1067,2024-01-18,Electronics,USB-C Charger,69000,3,Daegu
1068,2024-01-26,Home,Coffee Mug,4500,2,Incheon
1069,2024-01-09,Home,Towel Set,24900,2,Daejeon
1070,2024-01-26,Home,Table Lamp,12000,2,Daejeon
1071,2024-01-21,Fashion,Sneakers,69000,3,Daegu
1072,2024-01-02,Electronics,USB-C Charger,12000,2,Busan
1073,2024-01-20,Fashion,Basic T-Shirt,69000,2,Seoul
1074,2024-01-28,Home,Coffee Mug,4500,1,Busan
1075,2024-01-15,Electronics,Wireless Mouse,8900,3,Seoul
1076,2024-01-28,Sports,Yoga Mat,4500,2,Daejeon
1077,2024-01-07,Sports,Water Bottle,12000,2,Busan
1078,2024-01-12,Beauty,Lip Tint,29900,1,Daejeon
1079,2024-01-29,Home,Coffee Mug,4500,3,Incheon
1080,2024-01-08,Sports,Jump Rope,69000,1,Daejeon
1081,2024-01-15,Home,Coffee Mug,24900,1,Busan
1082,2024-01-03,Sports,Jump Rope,8900,2,Busan
1083,2024-01-14,Fashion,Hoodie,69000,1,Daejeon
1084,2024-01-17,Sports,Jump Rope,,1,Seoul
1085,2024-01-04,Home,Towel Set,89000,2,Incheon
1086,2024-01-18,Fashion,Hoodie,4500,1,Daejeon
1087,2024-01-08,Beauty,Moisture Cream,24900,2,Daegu
1088,2024-01-04,Electronics,Bluetooth Earbuds,49000,1,
1089,2024-01-02,Home,Coffee Mug,8900,2,Daegu
1090,2024-01-30,Fashion,Hoodie,39000,1,Busan
1091,2024-01-06,Sports,Running Shorts,69000,1,Busan
1092,2024-01-22,Beauty,Lip Tint,,2,Busan
1093,2024-01-10,Sports,Running Shorts,89000,2,Incheon
1094,2024-01-04,Electronics,Bluetooth Earbuds,55000,2,Busan
1095,2024-01-22,Sports,Yoga Mat,49000,1,Seoul
1096,2024-01-29,Beauty,Perfume,18900,1,Seoul
1097,2024-01-18,Sports,Jump Rope,4500,2,Seoul
1098,2024-01-26,Beauty,Lip Tint,4500,1,Incheon
1099,2024-01-12,Electronics,Portable Speaker,89000,1,Seoul
1100,2024-01-02,Home,Towel Set,55000,1,Incheon
